Method 1,Method 2,p,Significance,Metric,Test Set
1DCNN,1DCNN,,,R$^2$,08SC
AttentiveFP,AttentiveFP,,,R$^2$,08SC
GAT,GAT,,,R$^2$,08SC
GATv2,GATv2,,,R$^2$,08SC
GCN,GCN,,,R$^2$,08SC
LightGBM,LightGBM,,,R$^2$,08SC
MPNN,MPNN,,,R$^2$,08SC
XGBoost,XGBoost,,,R$^2$,08SC
1DCNN,AttentiveFP,0.000181,***,R$^2$,08SC
1DCNN,GAT,3.48E-12,***,R$^2$,08SC
1DCNN,GATv2,1.50E-12,***,R$^2$,08SC
1DCNN,GCN,2.11E-05,***,R$^2$,08SC
1DCNN,LightGBM,0.00E+00,***,R$^2$,08SC
1DCNN,MPNN,1.54E-13,***,R$^2$,08SC
1DCNN,XGBoost,4.73E-09,***,R$^2$,08SC
AttentiveFP,GAT,1.22E-02,*,R$^2$,08SC
AttentiveFP,GATv2,1.00E+00,,R$^2$,08SC
AttentiveFP,GCN,2.28E-01,,R$^2$,08SC
AttentiveFP,LightGBM,9.93E-05,***,R$^2$,08SC
AttentiveFP,MPNN,0.00E+00,***,R$^2$,08SC
AttentiveFP,XGBoost,1.97E-01,,R$^2$,08SC
GAT,GATv2,1.91E-03,**,R$^2$,08SC
GAT,GCN,6.30E-08,***,R$^2$,08SC
GAT,LightGBM,1.00E+00,,R$^2$,08SC
GAT,MPNN,0.00E+00,***,R$^2$,08SC
GAT,XGBoost,3.99E-08,***,R$^2$,08SC
GATv2,GCN,4.01E-04,***,R$^2$,08SC
GATv2,LightGBM,3.46E-11,***,R$^2$,08SC
GATv2,MPNN,0.00E+00,***,R$^2$,08SC
GATv2,XGBoost,4.42E-05,***,R$^2$,08SC
GCN,LightGBM,0.00E+00,***,R$^2$,08SC
GCN,MPNN,0.00E+00,***,R$^2$,08SC
GCN,XGBoost,1.00E+00,,R$^2$,08SC
LightGBM,MPNN,0.00E+00,***,R$^2$,08SC
LightGBM,XGBoost,0.00E+00,***,R$^2$,08SC
MPNN,XGBoost,0.00E+00,***,R$^2$,08SC
